,age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
14104,30,Private,175761,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,2580,0,40,United-States,<=50K
23660,51,Private,172281,Bachelors,13,Separated,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
6019,47,Private,231284,HS-grad,9,Never-married,Farming-fishing,Not-in-family,Other,Male,0,0,40,Puerto-Rico,<=50K
21382,48,Local-gov,246392,Assoc-acdm,12,Separated,Adm-clerical,Not-in-family,Black,Female,0,0,40,United-States,<=50K
22023,54,Private,169785,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,Italy,<=50K
835,31,Private,386299,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
7641,18,Private,477083,11th,7,Never-married,Sales,Not-in-family,White,Male,0,0,30,United-States,<=50K
20514,26,Private,213799,10th,6,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
29570,30,Private,164309,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,0,0,35,United-States,<=50K
22856,52,Private,122109,HS-grad,9,Never-married,Prof-specialty,Unmarried,White,Female,0,323,40,United-States,<=50K
1652,60,Private,338833,HS-grad,9,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,38,United-States,<=50K
33607,18,Private,133654,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
6175,52,Private,91506,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,45,United-States,<=50K
10185,64,Self-emp-inc,487751,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,<=50K
17975,41,Local-gov,242586,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
785,26,Private,264012,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
35399,22,Private,136873,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
14907,55,Local-gov,56915,HS-grad,9,Divorced,Exec-managerial,Unmarried,Amer-Indian-Eskimo,Male,0,0,8,United-States,<=50K
37937,47,Self-emp-inc,206947,Assoc-acdm,12,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,67,United-States,<=50K
33444,23,Private,186813,HS-grad,9,Never-married,Protective-serv,Own-child,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K
20199,23,Private,38151,11th,7,Never-married,Other-service,Other-relative,White,Male,0,0,40,Philippines,<=50K
11337,52,State-gov,145072,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
25931,23,Private,330571,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,0,0,25,United-States,<=50K
